statusId | label
8|test
statusId|sensorName|value|timestamp
8|3-axis Accelerometer|[13.551182,-12.77546,-7.9966335]|1485609777786
8|3-axis Accelerometer|[13.742718,-12.325351,-8.676587]|1485609777795
8|3-axis Accelerometer|[13.733141,-11.60709,-10.093954]|1485609777805
8|3-axis Accelerometer|[13.819332,-11.042058,-11.377247]|1485609777815
8|3-axis Accelerometer|[13.867216,-10.91756,-11.415554]|1485609777825
8|3-axis Accelerometer|[13.838486,-11.243171,-10.745177]|1485609777835
8|3-axis Accelerometer|[14.097059,-11.224017,-10.611102]|1485609777845
8|3-axis Accelerometer|[14.796166,-11.291056,-10.400413]|1485609777855
8|3-axis Accelerometer|[14.930242,-11.415554,-9.452309]|1485609777865
8|3-axis Accelerometer|[14.978126,-11.224017,-7.536947]|1485609777875
8|3-axis Accelerometer|[14.757859,-10.515334,-5.5258174]|1485609777884
8|3-axis Accelerometer|[14.30775,-9.892841,-3.7924154]|1485609777894
8|3-axis Accelerometer|[13.962984,-9.844957,-2.566584]|1485609777904
8|3-axis Accelerometer|[13.589489,-10.505757,-1.7429788]|1485609777913
8|3-axis Accelerometer|[12.938266,-11.36767,-0.9768343]|1485609777924
8|3-axis Accelerometer|[12.497733,-12.0093155,-0.29688102]|1485609777934
8|3-axis Accelerometer|[12.411542,-13.168109,0.92895025]|1485609777944
8|3-axis Accelerometer|[12.469003,-14.010868,2.5570073]|1485609777953
8|3-axis Accelerometer|[12.813767,-14.671668,4.060566]|1485609777963
8|3-axis Accelerometer|[13.22557,-14.642938,5.3247046]|1485609777974
8|3-axis Accelerometer|[14.15452,-14.192827,5.401319]|1485609777983
8|3-axis Accelerometer|[15.332468,-13.761871,4.76925]|1485609777993
8|3-axis Accelerometer|[16.558298,-13.474567,3.7349546]|1485609778003
8|3-axis Accelerometer|[18.100164,-12.861651,2.5953147]|1485609778013
8|3-axis Accelerometer|[19.82399,-11.587936,2.183512]|1485609778022
