# Accelerometer Data File
# Started @Mon Jan 16 23:01:50 GMT+05:30 2017
#
#
# sensor Vendor: Kionix
# sensor Name: 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.012 -0.035 -0.034 10
0.023 0.011 -0.014 10
0.021 0.018 -0.004 10
-0.024 -0.034 -0.055 10
-0.004 -0.022 -0.075 10
0.013 0.005 0.026 10
0.011 -0.003 0.049 9
-0.015 0.022 0.053 10
-0.03 0.037 0.022 10
-0.019 0.016 0.054 10
0.008 0.04 0.023 10
0.016 0.002 -0.013 10
0.014 -0.023 -0.046 10
0.039 0.004 0.035 10
0.009 -0.013 0.049 9
-0.034 0.005 -0.016 10
-0.065 0.013 0.037 10
-0.084 -0.048 0.0 10
-0.042 0.025 0.0 10
0.013 0.031 -0.009 10
0.003 -0.023 -0.042 10
-0.048 -0.038 -0.081 10
-0.052 -0.017 -0.047 9
-0.064 0.01 0.008 10
-0.031 0.035 0.042 10
0.014 0.083 0.089 10
0.004 0.049 0.003 10
-0.013 0.001 -0.014 10
-0.02 -0.076 -0.038 10
-0.009 -0.008 -0.026 10
0.042 0.026 0.01 9
0.073 0.006 0.001 10
0.048 -0.011 0.001 10
0.017 -0.027 -0.042 10
0.024 -0.058 -0.046 10
0.039 -0.035 0.044 10
0.026 0.062 0.048 10
0.058 0.047 0.017 10
0.026 0.025 -0.001 10
-0.01 0.023 -0.001 9
-0.009 -0.03 -0.018 10
-0.008 0.006 0.018 10
-0.024 -0.011 0.007 10
-0.013 -0.01 -0.001 10
-0.003 0.0 -0.01 10
-0.037 -0.052 0.016 10
-0.025 -0.046 0.032 9
-0.031 -0.042 0.037 10
-0.019 -0.012 0.068 10
0.008 -0.028 -0.024 10
0.007 -0.102 -0.013 10
-0.01 -0.075 -0.063 10
0.016 0.001 -0.023 10
-0.002 -0.007 -0.029 10
-0.028 -0.024 -0.078 10
0.009 0.021 -0.139 9
0.034 0.036 -0.004 10
0.056 0.032 -0.055 10
0.068 0.038 -0.015 10
0.078 0.06 0.002 11
0.079 0.054 0.019 9
0.079 -0.02 -0.094 10
0.037 -0.069 -0.326 10
0.085 -0.157 0.008 10
0.12 -0.055 0.145 9
0.125 0.139 0.139 10
0.104 0.022 0.168 10
0.033 -0.005 0.186 11
-0.021 0.02 0.064 9
-0.045 -0.067 -0.054 10
-0.006 0.059 0.089 10
0.02 0.045 0.105 10
0.0 -0.002 0.069 9
-0.007 -0.028 0.019 10
-0.024 0.009 0.017 10
-0.047 0.042 0.007 11
-0.042 -0.004 -0.045 9
-0.03 0.013 -0.032 10
-0.001 0.028 -0.072 10
-0.018 -0.008 -0.125 10
-0.068 -0.042 -0.095 9
-0.078 -0.046 -0.094 10
-0.053 -0.041 -0.024 10
-0.056 -0.037 -0.056 10
-0.085 -0.051 -0.059 10
-0.051 -0.063 -0.062 10
-0.011 0.029 -0.03 10
-0.027 -0.008 0.007 10
-0.024 -0.007 0.006 9
0.003 0.01 0.048 10
0.063 0.035 0.104 10
0.048 0.075 0.076 10
0.06 0.05 0.025 10
0.037 0.01 0.023 10
0.007 0.018 0.012 9

# Completed @Mon Jan 16 23:01:58 GMT+05:30 2017
